Conv Layer,Activation / Basis Functions,"Hidden Layers ",Accuracy (%),Parameters (B),Throughput (image/s)
nn.Conv2d,nn.relu,"[32,32]",65.75,"13,162",221224
convkan (with efficientKANLinear),Bspline,"[32,32]",68.55,"69,332",51873
convkan (with FastKANLinear),RBF,"[32,32]",69.80,"68,508",67265
ka-conv (ours),BSpline,"[32,32]",68.13,"65,076",8260
ka-conv small (ours),BSpline,"[8,32]",61.89,"27,180",7988
ka-conv tiny (ours),BSpline,"[8,16]",60.06,"14,156",8126
ka-conv (ours),Chebyshev,"[32,32]",63.09,"65,076",94824
ka-conv small (ours),Chebyshev,"[8,32]",59.33,"27,180",92144
ka-conv tiny (ours),Chebyshev,"[8,16]",56.79,"14,156",113881
ka-conv (ours),Fourier,"[32,32]",50.50,"65,076",86398
ka-conv small (ours),Fourier,"[8,32]",49.38,"27,180",84884
ka-conv tiny (ours),Fourier,"[8,16]",45.48,"14,156",104428
ka-conv (ours),Poly,"[32,32]",62.93,"65,076",98335
ka-conv small (ours),Poly,"[8,32]",58.17,"27,180",97254
ka-conv tiny (ours),Poly,"[8,16]",57.48,"14,156",127420
ka-conv (ours),RBF,"[32,32]",69.58,"65,076",100182
ka-conv small (ours),RBF,"[8,32]",65.81,"27,180",103170
ka-conv tiny (ours),RBF,"[8,16]",61.95,"14,156",126534